"UnionTerritories","Year","Quarter","Brands","User_Count","User_Percentage"
"andaman-&-nicobar-islands","2021","3","Samsung","12028","17.9571"
"andaman-&-nicobar-islands","2021","3","Oppo","5853","8.73817"
"andaman-&-nicobar-islands","2021","3","Realme","4808","7.17805"
"andaman-&-nicobar-islands","2021","3","OnePlus","2306","3.44272"
"andaman-&-nicobar-islands","2021","3","Huawei","1567","2.33943"
"andaman-&-nicobar-islands","2021","3","Apple","1283","1.91544"
"andaman-&-nicobar-islands","2021","3","Tecno","1178","1.75868"
"andaman-&-nicobar-islands","2021","3","Motorola","1017","1.51832"
"andaman-&-nicobar-islands","2021","3","Others","4593","6.85707"
"andaman-&-nicobar-islands","2021","4","Vivo","17597","24.5152"
"andaman-&-nicobar-islands","2021","4","Xiaomi","16968","23.6389"
"andaman-&-nicobar-islands","2021","4","Samsung","12574","17.5174"
"andaman-&-nicobar-islands","2021","4","Oppo","6127","8.5358"
"andaman-&-nicobar-islands","2021","4","Realme","5830","8.12204"
"andaman-&-nicobar-islands","2021","4","OnePlus","2691","3.74896"
"andaman-&-nicobar-islands","2021","4","Apple","1490","2.07579"
"andaman-&-nicobar-islands","2021","4","Huawei","1459","2.0326"
"andaman-&-nicobar-islands","2021","4","Tecno","1417","1.97409"
"andaman-&-nicobar-islands","2021","4","Motorola","1055","1.46977"
"andaman-&-nicobar-islands","2021","4","Others","4572","6.36946"
"andaman-&-nicobar-islands","2022","1","Vivo","18688","24.4966"
"andaman-&-nicobar-islands","2022","1","Xiaomi","17957","23.5384"
"andaman-&-nicobar-islands","2022","1","Samsung","12955","16.9817"
"andaman-&-nicobar-islands","2022","1","Realme","6769","8.87296"
"andaman-&-nicobar-islands","2022","1","Oppo","6461","8.46922"
"andaman-&-nicobar-islands","2022","1","OnePlus","3005","3.93902"
"andaman-&-nicobar-islands","2022","1","Tecno","1770","2.32016"
"andaman-&-nicobar-islands","2022","1","Apple","1634","2.14188"
"andaman-&-nicobar-islands","2022","1","Huawei","1441","1.88889"
"andaman-&-nicobar-islands","2022","1","Motorola","1050","1.37636"
"andaman-&-nicobar-islands","2022","1","Others","4558","5.97473"
"chandigarh","2018","1","Xiaomi","20555","23.8269"
"chandigarh","2018","1","Samsung","17266","20.0144"
"chandigarh","2018","1","Vivo","9360","10.8499"
"chandigarh","2018","1","Oppo","7948","9.21315"
"chandigarh","2018","1","Apple","7552","8.75412"
"chandigarh","2018","1","OnePlus","3638","4.21709"
"chandigarh","2018","1","Motorola","3105","3.59925"
"chandigarh","2018","1","Realme","2995","3.47174"
"chandigarh","2018","1","Lenovo","1965","2.27779"
"chandigarh","2018","1","Micromax","1558","1.806"
"chandigarh","2018","1","Others","10326","11.9697"
"chandigarh","2018","2","Xiaomi","27862","24.1818"
"chandigarh","2018","2","Samsung","23093","20.0427"
"chandigarh","2018","2","Vivo","13375","11.6083"
"chandigarh","2018","2","Oppo","11129","9.659"
"chandigarh","2018","2","Apple","9962","8.64614"
"chandigarh","2018","2","OnePlus","4466","3.8761"
"chandigarh","2018","2","Motorola","3914","3.39701"
"chandigarh","2018","2","Realme","3861","3.35101"
"chandigarh","2018","2","Lenovo","2511","2.17933"
"chandigarh","2018","2","Micromax","2049","1.77835"
"chandigarh","2018","2","Others","12997","11.2803"
"chandigarh","2018","3","Xiaomi","34852","24.2208"
"chandigarh","2018","3","Samsung","28614","19.8856"
"chandigarh","2018","3","Vivo","17910","12.4467"
"chandigarh","2018","3","Oppo","14437","10.0331"
"chandigarh","2018","3","Apple","12403","8.6196"
"chandigarh","2018","3","OnePlus","5178","3.59851"
"chandigarh","2018","3","Realme","4664","3.2413"
"chandigarh","2018","3","Motorola","4590","3.18987"
"chandigarh","2018","3","Lenovo","2926","2.03346"
"chandigarh","2018","3","Micromax","2395","1.66443"
"chandigarh","2018","3","Others","15924","11.0666"
"chandigarh","2018","4","Xiaomi","43505","24.4758"
"chandigarh","2018","4","Samsung","35417","19.9255"
"chandigarh","2018","4","Vivo","23567","13.2587"
"chandigarh","2018","4","Oppo","18698","10.5194"
"chandigarh","2018","4","Apple","15191","8.54642"
"chandigarh","2018","4","OnePlus","6197","3.48642"
"chandigarh","2018","4","Realme","5731","3.22425"
"chandigarh","2018","4","Motorola","5354","3.01215"
"chandigarh","2018","4","Lenovo","3148","1.77106"
"chandigarh","2018","4","Huawei","2838","1.59665"
"chandigarh","2018","4","Others","18101","10.1836"
"chandigarh","2019","1","Xiaomi","51075","24.4174"
"chandigarh","2019","1","Samsung","41609","19.892"
"chandigarh","2019","1","Vivo","29056","13.8908"
"chandigarh","2019","1","Oppo","23095","11.041"
"chandigarh","2019","1","Apple","17580","8.40445"
"chandigarh","2019","1","OnePlus","6880","3.28911"
"chandigarh","2019","1","Realme","6690","3.19828"
"chandigarh","2019","1","Motorola","6007","2.87176"
"chandigarh","2019","1","Lenovo","3406","1.6283"
"chandigarh","2019","1","Huawei","3364","1.60822"
"chandigarh","2019","1","Others","20413","9.75881"
"chandigarh","2019","2","Xiaomi","58356","24.2706"
"chandigarh","2019","2","Samsung","48067","19.9913"
"chandigarh","2019","2","Vivo","34791","14.4698"
"chandigarh","2019","2","Oppo","27444","11.4141"
"chandigarh","2019","2","Apple","20041","8.33517"
"chandigarh","2019","2","OnePlus","7595","3.15881"
"chandigarh","2019","2","Realme","7590","3.15673"
"chandigarh","2019","2","Motorola","6475","2.69299"
"chandigarh","2019","2","Huawei","3816","1.5871"
"chandigarh","2019","2","Lenovo","3595","1.49518"
"chandigarh","2019","2","Others","22669","9.42817"
"chandigarh","2019","3","Xiaomi","64422","24.0977"
