State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460490000
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358000
arunachal-pradesh,2021,1,Merchant payments,155966,204958000
arunachal-pradesh,2021,1,Financial Services,1558,2672460
arunachal-pradesh,2021,1,Others,3074,3301660
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960000
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165580000
arunachal-pradesh,2021,2,Merchant payments,243375,283709000
arunachal-pradesh,2021,2,Financial Services,1582,2761080
arunachal-pradesh,2021,2,Others,3755,3415110
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033600000
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187391000
arunachal-pradesh,2021,3,Merchant payments,314658,449869000
arunachal-pradesh,2021,3,Financial Services,1934,3348550
arunachal-pradesh,2021,3,Others,4185,3912140
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022730000
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207785000
arunachal-pradesh,2021,4,Merchant payments,521447,704196000
arunachal-pradesh,2021,4,Financial Services,2386,3933560
arunachal-pradesh,2021,4,Others,5901,4862910
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670640000
arunachal-pradesh,2022,1,Merchant payments,720803,917155000
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933000
arunachal-pradesh,2022,1,Financial Services,3053,3359630
arunachal-pradesh,2022,1,Others,6052,5002260
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627060000
arunachal-pradesh,2022,2,Merchant payments,1108353,1255510000
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241163000
arunachal-pradesh,2022,2,Financial Services,2466,4063470
arunachal-pradesh,2022,2,Others,5768,3864270
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365430000
arunachal-pradesh,2022,3,Merchant payments,1316326,1413250000
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448000
arunachal-pradesh,2022,3,Financial Services,1997,4763320
arunachal-pradesh,2022,3,Others,4687,3224950
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768090000
arunachal-pradesh,2022,4,Merchant payments,1704968,1669600000
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239413000
arunachal-pradesh,2022,4,Financial Services,2617,3785470
arunachal-pradesh,2022,4,Others,4838,4020770
