"State","Year","Quarter","Brands","User_Count","User_Percentage"
"andhra-pradesh","2021","3","Vivo","3981492","18.9056"
"andhra-pradesh","2021","3","Samsung","3911188","18.5717"
"andhra-pradesh","2021","3","Oppo","2382363","11.3123"
"andhra-pradesh","2021","3","Realme","2134616","10.1359"
"andhra-pradesh","2021","3","Motorola","486971","2.31231"
"andhra-pradesh","2021","3","Apple","480993","2.28393"
"andhra-pradesh","2021","3","OnePlus","459011","2.17955"
"andhra-pradesh","2021","3","Huawei","435214","2.06655"
"andhra-pradesh","2021","3","Lenovo","245241","1.16449"
"andhra-pradesh","2021","3","Others","1286102","6.10688"
"andhra-pradesh","2021","4","Xiaomi","5518238","24.5375"
"andhra-pradesh","2021","4","Vivo","4381023","19.4807"
"andhra-pradesh","2021","4","Samsung","4017419","17.8639"
"andhra-pradesh","2021","4","Oppo","2580845","11.476"
"andhra-pradesh","2021","4","Realme","2528884","11.245"
"andhra-pradesh","2021","4","Apple","544986","2.42334"
"andhra-pradesh","2021","4","OnePlus","525373","2.33613"
"andhra-pradesh","2021","4","Motorola","474422","2.10957"
"andhra-pradesh","2021","4","Huawei","409934","1.82282"
"andhra-pradesh","2021","4","Lenovo","224391","0.99778"
"andhra-pradesh","2021","4","Others","1283514","5.70729"
"andhra-pradesh","2022","1","Xiaomi","5743382","24.0732"
"andhra-pradesh","2022","1","Vivo","4772765","20.0049"
"andhra-pradesh","2022","1","Samsung","4124296","17.2869"
"andhra-pradesh","2022","1","Realme","2864092","12.0048"
"andhra-pradesh","2022","1","Oppo","2780974","11.6564"
"andhra-pradesh","2022","1","Apple","594003","2.48975"
"andhra-pradesh","2022","1","OnePlus","580737","2.43414"
"andhra-pradesh","2022","1","Motorola","463652","1.94339"
"andhra-pradesh","2022","1","Huawei","401477","1.68278"
"andhra-pradesh","2022","1","Lenovo","222586","0.932964"
"andhra-pradesh","2022","1","Others","1309987","5.49078"
"arunachal-pradesh","2018","1","Xiaomi","5212","24.2475"
"arunachal-pradesh","2018","1","Samsung","4354","20.2559"
"arunachal-pradesh","2018","1","Vivo","3523","16.3899"
"arunachal-pradesh","2018","1","Oppo","2608","12.1331"
"arunachal-pradesh","2018","1","Realme","1297","6.03396"
"arunachal-pradesh","2018","1","Apple","628","2.92161"
"arunachal-pradesh","2018","1","Gionee","563","2.61921"
"arunachal-pradesh","2018","1","Lenovo","420","1.95394"
"arunachal-pradesh","2018","1","OnePlus","403","1.87485"
"arunachal-pradesh","2018","1","Motorola","343","1.59572"
"arunachal-pradesh","2018","1","Others","2144","9.97441"
"arunachal-pradesh","2018","2","Xiaomi","8058","24.5051"
"arunachal-pradesh","2018","2","Samsung","6633","20.1715"
"arunachal-pradesh","2018","2","Vivo","5591","17.0027"
"arunachal-pradesh","2018","2","Oppo","4204","12.7847"
"arunachal-pradesh","2018","2","Realme","1943","5.90883"
"arunachal-pradesh","2018","2","Apple","869","2.6427"
"arunachal-pradesh","2018","2","Gionee","730","2.21999"
"arunachal-pradesh","2018","2","Lenovo","581","1.76687"
"arunachal-pradesh","2018","2","OnePlus","554","1.68476"
"arunachal-pradesh","2018","2","Motorola","514","1.56312"
"arunachal-pradesh","2018","2","Others","3206","9.74972"
"arunachal-pradesh","2018","3","Xiaomi","11250","24.4981"
"arunachal-pradesh","2018","3","Samsung","9307","20.267"
"arunachal-pradesh","2018","3","Vivo","8226","17.913"
"arunachal-pradesh","2018","3","Oppo","5992","13.0482"
"arunachal-pradesh","2018","3","Realme","2676","5.82727"
"arunachal-pradesh","2018","3","Apple","1153","2.51078"
"arunachal-pradesh","2018","3","Gionee","1024","2.22987"
"arunachal-pradesh","2018","3","OnePlus","740","1.61143"
"arunachal-pradesh","2018","3","Motorola","722","1.57223"
"arunachal-pradesh","2018","3","Lenovo","629","1.36971"
"arunachal-pradesh","2018","3","Others","4203","9.15248"
"arunachal-pradesh","2018","4","Xiaomi","15097","24.4083"
"arunachal-pradesh","2018","4","Samsung","12580","20.3389"
"arunachal-pradesh","2018","4","Vivo","11624","18.7932"
"arunachal-pradesh","2018","4","Oppo","8328","13.4644"
"arunachal-pradesh","2018","4","Realme","3613","5.84136"
"arunachal-pradesh","2018","4","Apple","1517","2.45263"
"arunachal-pradesh","2018","4","Gionee","1188","1.92071"
"arunachal-pradesh","2018","4","Motorola","944","1.52622"
"arunachal-pradesh","2018","4","OnePlus","896","1.44862"
"arunachal-pradesh","2018","4","Lenovo","831","1.34353"
"arunachal-pradesh","2018","4","Others","5234","8.46214"
"arunachal-pradesh","2019","1","Xiaomi","18809","24.4409"
"arunachal-pradesh","2019","1","Samsung","15537","20.1892"
"arunachal-pradesh","2019","1","Vivo","14892","19.3511"
"arunachal-pradesh","2019","1","Oppo","10738","13.9532"
"arunachal-pradesh","2019","1","Realme","4413","5.73437"
"arunachal-pradesh","2019","1","Apple","1870","2.42993"
"arunachal-pradesh","2019","1","Gionee","1310","1.70225"
"arunachal-pradesh","2019","1","Motorola","1137","1.47745"
"arunachal-pradesh","2019","1","OnePlus","1114","1.44756"
"arunachal-pradesh","2019","1","Huawei","972","1.26304"
"arunachal-pradesh","2019","1","Others","6165","8.01097"
"arunachal-pradesh","2019","2","Xiaomi","23326","24.3271"
"arunachal-pradesh","2019","2","Samsung","19719","20.5653"
"arunachal-pradesh","2019","2","Vivo","18958","19.7716"
"arunachal-pradesh","2019","2","Oppo","13678","14.265"
"arunachal-pradesh","2019","2","Realme","5425","5.65782"
"arunachal-pradesh","2019","2","Apple","2169","2.26208"
"arunachal-pradesh","2019","2","Gionee","1608","1.67701"
"arunachal-pradesh","2019","2","Motorola","1404","1.46425"
"arunachal-pradesh","2019","2","OnePlus","1251","1.30469"
"arunachal-pradesh","2019","2","Huawei","1175","1.22543"
"arunachal-pradesh","2019","2","Others","7172","7.47979"
"arunachal-pradesh","2019","3","Xiaomi","27394","24.4264"
"arunachal-pradesh","2019","3","Vivo","22731","20.2686"
"arunachal-pradesh","2019","3","Samsung","22720","20.2588"
"arunachal-pradesh","2019","3","Oppo","16262","14.5004"
"arunachal-pradesh","2019","3","Realme","6477","5.77535"
"arunachal-pradesh","2019","3","Apple","2509","2.2372"
"arunachal-pradesh","2019","3","Gionee","1800","1.60501"
"arunachal-pradesh","2019","3","Motorola","1561","1.3919"
"arunachal-pradesh","2019","3","OnePlus","1390","1.23942"
"arunachal-pradesh","2019","3","Huawei","1377","1.22783"
"arunachal-pradesh","2019","3","Others","7928","7.06917"
"arunachal-pradesh","2019","4","Xiaomi","31369","24.2567"
"arunachal-pradesh","2019","4","Vivo","26787","20.7136"
"arunachal-pradesh","2019","4","Samsung","26087","20.1723"
"arunachal-pradesh","2019","4","Oppo","19208","14.853"
"arunachal-pradesh","2019","4","Realme","7743","5.98743"
"arunachal-pradesh","2019","4","Apple","2811","2.17366"
"arunachal-pradesh","2019","4","Gionee","1983","1.53339"
"arunachal-pradesh","2019","4","Motorola","1637","1.26584"
"arunachal-pradesh","2019","4","Huawei","1581","1.22254"
"arunachal-pradesh","2019","4","OnePlus","1535","1.18697"
"arunachal-pradesh","2019","4","Others","8580","6.63465"
"arunachal-pradesh","2020","1","Xiaomi","35625","23.8988"
"arunachal-pradesh","2020","1","Vivo","31742","21.2939"
"arunachal-pradesh","2020","1","Samsung","29807","19.9958"
"arunachal-pradesh","2020","1","Oppo","22566","15.1383"
"arunachal-pradesh","2020","1","Realme","9351","6.27306"
"arunachal-pradesh","2020","1","Apple","3135","2.1031"
"arunachal-pradesh","2020","1","Gionee","2068","1.3873"
"arunachal-pradesh","2020","1","Huawei","1768","1.18605"
"arunachal-pradesh","2020","1","Motorola","1742","1.16861"
"arunachal-pradesh","2020","1","OnePlus","1696","1.13775"
"arunachal-pradesh","2020","1","Others","9566","6.41729"
"arunachal-pradesh","2020","2","Xiaomi","41662","23.4671"
"arunachal-pradesh","2020","2","Vivo","39089","22.0178"
"arunachal-pradesh","2020","2","Samsung","34984","19.7055"
"arunachal-pradesh","2020","2","Oppo","27629","15.5627"
"arunachal-pradesh","2020","2","Realme","11596","6.53171"
"arunachal-pradesh","2020","2","Apple","3398","1.914"
"arunachal-pradesh","2020","2","Gionee","2355","1.32651"
"arunachal-pradesh","2020","2","Huawei","2019","1.13725"
"arunachal-pradesh","2020","2","Motorola","1873","1.05501"
"arunachal-pradesh","2020","2","OnePlus","1809","1.01896"
"arunachal-pradesh","2020","2","Others","11120","6.26359"
"arunachal-pradesh","2020","3","Xiaomi","47870","23.2327"
"arunachal-pradesh","2020","3","Vivo","46799","22.7129"
"arunachal-pradesh","2020","3","Samsung","40403","19.6087"
"arunachal-pradesh","2020","3","Oppo","32287","15.6698"
"arunachal-pradesh","2020","3","Realme","13982","6.78586"
"arunachal-pradesh","2020","3","Apple","3738","1.81416"
"arunachal-pradesh","2020","3","Gionee","2514","1.22012"
"arunachal-pradesh","2020","3","Huawei","2276","1.10461"
"arunachal-pradesh","2020","3","Motorola","1997","0.969201"
"arunachal-pradesh","2020","3","OnePlus","1965","0.953671"
"arunachal-pradesh","2020","3","Others","12215","5.92829"
"arunachal-pradesh","2020","4","Vivo","53198","23.0004"
"arunachal-pradesh","2020","4","Xiaomi","53097","22.9567"
"arunachal-pradesh","2020","4","Samsung","45317","19.593"
"arunachal-pradesh","2020","4","Oppo","36466","15.7662"
"arunachal-pradesh","2020","4","Realme","16419","7.09882"
"arunachal-pradesh","2020","4","Apple","4188","1.8107"
"arunachal-pradesh","2020","4","Gionee","2611","1.12888"
"arunachal-pradesh","2020","4","Huawei","2424","1.04803"
"arunachal-pradesh","2020","4","Motorola","2149","0.929129"
"arunachal-pradesh","2020","4","OnePlus","2141","0.92567"
"arunachal-pradesh","2020","4","Others","13282","5.74252"
"arunachal-pradesh","2021","1","Vivo","58748","23.3832"
"arunachal-pradesh","2021","1","Xiaomi","57405","22.8487"
"arunachal-pradesh","2021","1","Samsung","48405","19.2664"
"arunachal-pradesh","2021","1","Oppo","39602","15.7626"
"arunachal-pradesh","2021","1","Realme","18658","7.42637"
"arunachal-pradesh","2021","1","Apple","4560","1.815"
"arunachal-pradesh","2021","1","Gionee","2611","1.03925"
"arunachal-pradesh","2021","1","Huawei","2526","1.00541"
"arunachal-pradesh","2021","1","OnePlus","2342","0.932176"
"arunachal-pradesh","2021","1","Motorola","2224","0.885209"
"arunachal-pradesh","2021","1","Others","14159","5.63565"
"arunachal-pradesh","2021","2","Vivo","63439","23.4463"
"arunachal-pradesh","2021","2","Xiaomi","61629","22.7773"
"arunachal-pradesh","2021","2","Samsung","51110","18.8896"
"arunachal-pradesh","2021","2","Oppo","42407","15.6731"
"arunachal-pradesh","2021","2","Realme","22481","8.30869"
"arunachal-pradesh","2021","2","Apple","5062","1.87085"
"arunachal-pradesh","2021","2","OnePlus","2622","0.969058"
"arunachal-pradesh","2021","2","Gionee","2510","0.927664"
"arunachal-pradesh","2021","2","Huawei","2408","0.889966"
"arunachal-pradesh","2021","2","Motorola","2229","0.82381"
"arunachal-pradesh","2021","2","Others","14675","5.4237"
"arunachal-pradesh","2021","3","Vivo","69301","23.6463"
"arunachal-pradesh","2021","3","Xiaomi","66832","22.8039"
"arunachal-pradesh","2021","3","Samsung","52621","17.9549"
"arunachal-pradesh","2021","3","Oppo","46021","15.7029"
"arunachal-pradesh","2021","3","Realme","26567","9.06498"
"arunachal-pradesh","2021","3","Apple","5574","1.90192"
"arunachal-pradesh","2021","3","OnePlus","3208","1.09461"
"arunachal-pradesh","2021","3","Gionee","2629","0.897046"
"arunachal-pradesh","2021","3","Huawei","2593","0.884763"
"arunachal-pradesh","2021","3","Motorola","2253","0.76875"
"arunachal-pradesh","2021","3","Others","15474","5.27991"
