"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"delhi","2020","1","south east delhi district","6523345","9238070000"
"delhi","2020","1","shahdara district","2148023","3847700000"
"delhi","2020","1","north east district","1945559","3286320000"
"delhi","2020","1","east district","4783041","5861490000"
"delhi","2020","1","north west district","4394010","7009460000"
"delhi","2020","1","north district","4134350","5959730000"
"delhi","2020","2","south district","3631140","4698620000"
"delhi","2020","2","central district","17641823","30418600000"
"delhi","2020","2","new delhi district","13713658","27033400000"
"delhi","2020","2","west district","5753319","8981470000"
"delhi","2020","2","south west district","4193591","6168340000"
"delhi","2020","2","south east delhi district","5215263","7084670000"
"delhi","2020","2","shahdara district","1925218","3324160000"
"delhi","2020","2","north east district","2229412","3393430000"
"delhi","2020","2","east district","4005780","5059630000"
"delhi","2020","2","north west district","4270005","6452330000"
"delhi","2020","2","north district","3462809","5258810000"
"delhi","2020","3","south district","4564631","6503380000"
"delhi","2020","3","central district","32203761","61527700000"
"delhi","2020","3","new delhi district","17268250","34516800000"
"delhi","2020","3","west district","8231034","14963800000"
"delhi","2020","3","south west district","5547370","8927580000"
"delhi","2020","3","south east delhi district","7402382","11175400000"
"delhi","2020","3","shahdara district","2832449","5899820000"
"delhi","2020","3","north east district","2910048","5488230000"
"delhi","2020","3","east district","5054670","7198770000"
"delhi","2020","3","north west district","5785656","10454700000"
"delhi","2020","3","north district","4691610","8507810000"
"delhi","2020","4","south district","6797385","9578140000"
"delhi","2020","4","central district","32194168","61575400000"
"delhi","2020","4","new delhi district","19719782","37020500000"
"delhi","2020","4","west district","12092280","22395400000"
"delhi","2020","4","south west district","7745403","12646100000"
"delhi","2020","4","south east delhi district","11414146","17130300000"
"delhi","2020","4","shahdara district","4208254","9392230000"
"delhi","2020","4","north east district","4156966","8639860000"
"delhi","2020","4","east district","7410660","10725400000"
"delhi","2020","4","north west district","8026101","14953200000"
"delhi","2020","4","north district","6775272","12208500000"
"delhi","2021","1","south district","7428356","10208100000"
"delhi","2021","1","central district","54173342","90711700000"
"delhi","2021","1","new delhi district","31953482","53832800000"
"delhi","2021","1","west district","12363374","23133600000"
"delhi","2021","1","south west district","7721739","12780300000"
"delhi","2021","1","south east delhi district","12287216","18449900000"
"delhi","2021","1","shahdara district","4235592","9595160000"
"delhi","2021","1","north east district","4096987","8600370000"
"delhi","2021","1","east district","7874737","11290600000"
"delhi","2021","1","north west district","8024587","15349200000"
"delhi","2021","1","north district","7199592","12976800000"
"delhi","2021","2","south district","7346726","9956090000"
"delhi","2021","2","central district","62131856","100896000000"
"delhi","2021","2","new delhi district","36788618","60387100000"
"delhi","2021","2","west district","12217454","22461000000"
"delhi","2021","2","south west district","8208259","13456600000"
"delhi","2021","2","south east delhi district","11519378","17106100000"
"delhi","2021","2","shahdara district","4234013","9073390000"
"delhi","2021","2","north east district","4567057","9118330000"
"delhi","2021","2","east district","7486985","10978700000"
"delhi","2021","2","north west district","8373397","15462800000"
"delhi","2021","2","north district","7283521","13045000000"
"delhi","2021","3","south district","10381321","13789700000"
"delhi","2021","3","central district","88849847","137311000000"
"delhi","2021","3","new delhi district","50089446","77874600000"
"delhi","2021","3","west district","17186832","31879900000"
"delhi","2021","3","south west district","10691277","17386000000"
"delhi","2021","3","south east delhi district","17254936","25283700000"
"delhi","2021","3","shahdara district","6108459","13750300000"
"delhi","2021","3","north east district","5995497","12299000000"
"delhi","2021","3","east district","10407086","14944800000"
"delhi","2021","3","north west district","11436200","21133100000"
"delhi","2021","3","north district","10359707","18205800000"
"delhi","2021","4","south district","12510023","16942800000"
"delhi","2021","4","central district","111134916","177626000000"
"delhi","2021","4","new delhi district","61634107","99244400000"
"delhi","2021","4","west district","20430656","39890700000"
"delhi","2021","4","south west district","12404698","21054200000"
"delhi","2021","4","south east delhi district","21366628","32122200000"
"delhi","2021","4","shahdara district","7518346","17929100000"
"delhi","2021","4","north east district","7502147","16623200000"
"delhi","2021","4","east district","12092666","18447800000"
"delhi","2021","4","north west district","13585992","26091700000"
"delhi","2021","4","north district","12503180","22723600000"
"delhi","2022","1","south district","13519253","17982800000"
"delhi","2022","1","central district","128309915","198073000000"
"delhi","2022","1","new delhi district","71006225","110658000000"
"delhi","2022","1","west district","22748647","43283000000"
"delhi","2022","1","south west district","13659485","22637000000"
"delhi","2022","1","south east delhi district","23146633","34276300000"
"delhi","2022","1","shahdara district","8243067","19161200000"
"delhi","2022","1","north east district","8357217","17814200000"
