"State","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"andhra-pradesh","2021","1","spsr nellore district","22541428","52210300000"
"andhra-pradesh","2021","1","vizianagaram district","10514582","24153800000"
"andhra-pradesh","2021","1","visakhapatnam district","48248923","95308400000"
"andhra-pradesh","2021","1","prakasam district","15175395","41396200000"
"andhra-pradesh","2021","1","anantapur district","20102957","48353900000"
"andhra-pradesh","2021","1","ysr district","15374473","42570900000"
"andhra-pradesh","2021","1","west godavari district","16015685","42124000000"
"andhra-pradesh","2021","1","kurnool district","17918524","44941600000"
"andhra-pradesh","2021","1","chittoor district","29342609","60947500000"
"andhra-pradesh","2021","1","guntur district","27445045","64208000000"
"andhra-pradesh","2021","1","krishna district","29717175","69715400000"
"andhra-pradesh","2021","2","east godavari district","31717908","74604300000"
"andhra-pradesh","2021","2","srikakulam district","13546232","32298100000"
"andhra-pradesh","2021","2","spsr nellore district","30290406","72283100000"
"andhra-pradesh","2021","2","vizianagaram district","12689494","29140700000"
"andhra-pradesh","2021","2","visakhapatnam district","54390299","114439000000"
"andhra-pradesh","2021","2","prakasam district","19944047","54535300000"
"andhra-pradesh","2021","2","anantapur district","25123346","60987500000"
"andhra-pradesh","2021","2","ysr district","18457361","52523500000"
"andhra-pradesh","2021","2","west godavari district","20950964","57233100000"
"andhra-pradesh","2021","2","kurnool district","21972396","56659300000"
"andhra-pradesh","2021","2","chittoor district","34344902","73654700000"
"andhra-pradesh","2021","2","guntur district","32968819","82356900000"
"andhra-pradesh","2021","2","krishna district","36370960","90021900000"
"andhra-pradesh","2021","3","east godavari district","39572714","89380400000"
"andhra-pradesh","2021","3","srikakulam district","15639768","34836400000"
"andhra-pradesh","2021","3","spsr nellore district","34411958","77839700000"
"andhra-pradesh","2021","3","vizianagaram district","14510005","31383500000"
"andhra-pradesh","2021","3","visakhapatnam district","69220981","136946000000"
"andhra-pradesh","2021","3","prakasam district","24116580","63367700000"
"andhra-pradesh","2021","3","anantapur district","30366444","70291300000"
"andhra-pradesh","2021","3","ysr district","22439316","60683600000"
"andhra-pradesh","2021","3","west godavari district","26245039","66647200000"
"andhra-pradesh","2021","3","kurnool district","26377809","62527500000"
"andhra-pradesh","2021","3","chittoor district","42628568","89371900000"
"andhra-pradesh","2021","3","guntur district","41675093","96525400000"
"andhra-pradesh","2021","3","krishna district","44828275","104418000000"
"andhra-pradesh","2021","4","east godavari district","48992531","106726000000"
"andhra-pradesh","2021","4","srikakulam district","18501857","39713700000"
"andhra-pradesh","2021","4","spsr nellore district","41921081","92256400000"
"andhra-pradesh","2021","4","vizianagaram district","17253059","36577500000"
"andhra-pradesh","2021","4","visakhapatnam district","82711538","159530000000"
"andhra-pradesh","2021","4","prakasam district","27858275","71323100000"
"andhra-pradesh","2021","4","anantapur district","36129136","81239800000"
"andhra-pradesh","2021","4","ysr district","26340348","69081800000"
"andhra-pradesh","2021","4","west godavari district","33235175","81292500000"
"andhra-pradesh","2021","4","kurnool district","31782248","73969000000"
"andhra-pradesh","2021","4","chittoor district","51119640","103986000000"
"andhra-pradesh","2021","4","guntur district","50919286","115554000000"
"andhra-pradesh","2021","4","krishna district","55489829","125015000000"
"andhra-pradesh","2022","1","east godavari district","54738830","121067000000"
"andhra-pradesh","2022","1","srikakulam district","20990782","46898900000"
"andhra-pradesh","2022","1","spsr nellore district","47645702","104896000000"
"andhra-pradesh","2022","1","vizianagaram district","19278262","41994900000"
"andhra-pradesh","2022","1","visakhapatnam district","88233362","170120000000"
"andhra-pradesh","2022","1","prakasam district","31340975","79494400000"
"andhra-pradesh","2022","1","anantapur district","40613148","90197000000"
"andhra-pradesh","2022","1","ysr district","29783739","78421700000"
"andhra-pradesh","2022","1","west godavari district","37271259","92397900000"
"andhra-pradesh","2022","1","kurnool district","35093633","81568400000"
"andhra-pradesh","2022","1","chittoor district","58561024","117901000000"
"andhra-pradesh","2022","1","guntur district","57226996","129674000000"
"andhra-pradesh","2022","1","krishna district","61826199","139690000000"
"andhra-pradesh","2022","2","east godavari district","62072845","135531000000"
"andhra-pradesh","2022","2","srikakulam district","23727353","53754800000"
"andhra-pradesh","2022","2","spsr nellore district","54838708","121941000000"
"andhra-pradesh","2022","2","vizianagaram district","21766135","47294700000"
"andhra-pradesh","2022","2","visakhapatnam district","101387402","193243000000"
"andhra-pradesh","2022","2","prakasam district","36163507","90435100000"
"andhra-pradesh","2022","2","anantapur district","46099366","102139000000"
"andhra-pradesh","2022","2","ysr district","33154559","87601300000"
"andhra-pradesh","2022","2","west godavari district","44409239","107973000000"
"andhra-pradesh","2022","2","kurnool district","40165692","92409300000"
"andhra-pradesh","2022","2","chittoor district","67507661","136435000000"
"andhra-pradesh","2022","2","guntur district","66315749","147098000000"
"andhra-pradesh","2022","2","krishna district","73525814","163998000000"
"andhra-pradesh","2022","3","east godavari district","61467134","129678000000"
"andhra-pradesh","2022","3","srikakulam district","22126541","46900000000"
"andhra-pradesh","2022","3","spsr nellore district","42116582","95099300000"
"andhra-pradesh","2022","3","vizianagaram district","20440645","42513300000"
"andhra-pradesh","2022","3","visakhapatnam district","97434546","181124000000"
"andhra-pradesh","2022","3","prakasam district","35376080","87475200000"
"andhra-pradesh","2022","3","anantapur district","45165363","97735600000"
"andhra-pradesh","2022","3","ysr district","33119038","86016900000"
"andhra-pradesh","2022","3","west godavari district","43635951","101707000000"
"andhra-pradesh","2022","3","kurnool district","39557913","88415300000"
"andhra-pradesh","2022","3","chittoor district","65751781","133054000000"
"andhra-pradesh","2022","3","guntur district","65612317","141589000000"
"andhra-pradesh","2022","3","krishna district","71051144","153771000000"
"andhra-pradesh","2022","4","east godavari district","68016055","136531000000"
"andhra-pradesh","2022","4","srikakulam district","23693779","47726400000"
"andhra-pradesh","2022","4","spsr nellore district","42582064","92085900000"
"andhra-pradesh","2022","4","vizianagaram district","22205190","44467400000"
"andhra-pradesh","2022","4","visakhapatnam district","103790055","185306000000"
"andhra-pradesh","2022","4","prakasam district","37211077","88105000000"
"andhra-pradesh","2022","4","anantapur district","48299601","101534000000"
"andhra-pradesh","2022","4","ysr district","35201596","87360400000"
"andhra-pradesh","2022","4","west godavari district","47919930","105336000000"
"andhra-pradesh","2022","4","kurnool district","43524766","94667400000"
"andhra-pradesh","2022","4","chittoor district","70322534","136841000000"
"andhra-pradesh","2022","4","guntur district","70723763","146939000000"
"andhra-pradesh","2022","4","krishna district","76526667","157826000000"
"arunachal-pradesh","2018","1","lower dibang valley district","1356","1076240"
"arunachal-pradesh","2018","1","lower subansiri district","1477","3650730"
"arunachal-pradesh","2018","1","longding district","2321","4361530"
"arunachal-pradesh","2018","1","west siang district","1887","4796680"
"arunachal-pradesh","2018","1","kamle district","14","7971.33"
"arunachal-pradesh","2018","1","upper siang district","126","186611"
"arunachal-pradesh","2018","1","tirap district","945","1064260"
"arunachal-pradesh","2018","1","papum pare district","14224","32555800"
"arunachal-pradesh","2018","1","kurung kumey district","84","99416.6"
"arunachal-pradesh","2018","1","siang district","252","339472"
"arunachal-pradesh","2018","1","lower siang district","1292","2337960"
"arunachal-pradesh","2018","1","kra daadi district","207","495375"
"arunachal-pradesh","2018","1","changlang district","3195","5380750"
"arunachal-pradesh","2018","1","pakke kessang district","9","9131.4"
"arunachal-pradesh","2018","1","dibang valley district","2","169.889"
"arunachal-pradesh","2018","1","west kameng district","5787","9540630"
"arunachal-pradesh","2018","1","east siang district","3286","5533620"
"arunachal-pradesh","2018","1","upper subansiri district","735","1358370"
"arunachal-pradesh","2018","1","east kameng district","529","473825"
"arunachal-pradesh","2018","1","lohit district","3747","11497000"
"arunachal-pradesh","2018","1","lepa rada district","288","403149"
"arunachal-pradesh","2018","1","tawang district","2334","5055660"
"arunachal-pradesh","2018","1","namsai district","1400","2162980"
"arunachal-pradesh","2018","2","lower dibang valley district","1827","2561240"
"arunachal-pradesh","2018","2","lower subansiri district","1666","4113740"
"arunachal-pradesh","2018","2","longding district","4634","10271200"
"arunachal-pradesh","2018","2","west siang district","2579","7610990"
"arunachal-pradesh","2018","2","kamle district","12","23654.1"
"arunachal-pradesh","2018","2","upper siang district","240","494895"
"arunachal-pradesh","2018","2","tirap district","1903","3126390"
"arunachal-pradesh","2018","2","papum pare district","25363","66520900"
"arunachal-pradesh","2018","2","kurung kumey district","83","123737"
"arunachal-pradesh","2018","2","anjaw district","7","7871.02"
"arunachal-pradesh","2018","2","siang district","336","740233"
"arunachal-pradesh","2018","2","lower siang district","2292","2179450"
"arunachal-pradesh","2018","2","kra daadi district","247","987136"
"arunachal-pradesh","2018","2","changlang district","6066","13294300"
"arunachal-pradesh","2018","2","pakke kessang district","48","58359.6"
"arunachal-pradesh","2018","2","dibang valley district","68","65769.2"
"arunachal-pradesh","2018","2","west kameng district","10466","25521300"
"arunachal-pradesh","2018","2","east siang district","6363","15285600"
"arunachal-pradesh","2018","2","upper subansiri district","1285","2911910"
"arunachal-pradesh","2018","2","east kameng district","522","1825300"
"arunachal-pradesh","2018","2","lohit district","6962","20520600"
"arunachal-pradesh","2018","2","lepa rada district","511","731445"
"arunachal-pradesh","2018","2","tawang district","5447","13722400"
"arunachal-pradesh","2018","2","namsai district","3230","6271810"
"arunachal-pradesh","2018","3","lower dibang valley district","2824","6074560"
"arunachal-pradesh","2018","3","lower subansiri district","2346","5154230"
"arunachal-pradesh","2018","3","longding district","5288","18327300"
"arunachal-pradesh","2018","3","west siang district","3337","12966200"
"arunachal-pradesh","2018","3","kamle district","93","30504.9"
"arunachal-pradesh","2018","3","upper siang district","250","743956"
"arunachal-pradesh","2018","3","tirap district","3322","7479260"
"arunachal-pradesh","2018","3","papum pare district","43282","101080000"
"arunachal-pradesh","2018","3","kurung kumey district","255","303027"
"arunachal-pradesh","2018","3","anjaw district","13","95403.7"
"arunachal-pradesh","2018","3","siang district","615","2141730"
"arunachal-pradesh","2018","3","lower siang district","2625","3045590"
"arunachal-pradesh","2018","3","kra daadi district","436","1606760"
"arunachal-pradesh","2018","3","changlang district","10162","20494200"
"arunachal-pradesh","2018","3","pakke kessang district","165","305165"
"arunachal-pradesh","2018","3","dibang valley district","29","196467"
"arunachal-pradesh","2018","3","west kameng district","17026","48528100"
"arunachal-pradesh","2018","3","east siang district","10539","24885300"
"arunachal-pradesh","2018","3","upper subansiri district","1601","4223300"
"arunachal-pradesh","2018","3","east kameng district","1029","3132860"
"arunachal-pradesh","2018","3","lohit district","11595","32702300"
"arunachal-pradesh","2018","3","lepa rada district","523","1777600"
"arunachal-pradesh","2018","3","tawang district","8715","25733800"
"arunachal-pradesh","2018","3","namsai district","5076","10698300"
"arunachal-pradesh","2018","4","lower dibang valley district","4227","10951300"
"arunachal-pradesh","2018","4","lower subansiri district","3735","8884930"
"arunachal-pradesh","2018","4","longding district","6581","22545300"
"arunachal-pradesh","2018","4","west siang district","3813","14014000"
"arunachal-pradesh","2018","4","kamle district","247","361497"
"arunachal-pradesh","2018","4","upper siang district","1041","2157330"
"arunachal-pradesh","2018","4","tirap district","5725","10811700"
"arunachal-pradesh","2018","4","papum pare district","55224","154875000"
"arunachal-pradesh","2018","4","kurung kumey district","444","759687"
"arunachal-pradesh","2018","4","anjaw district","273","495578"
"arunachal-pradesh","2018","4","siang district","822","2176630"
"arunachal-pradesh","2018","4","lower siang district","2883","4533290"
"arunachal-pradesh","2018","4","kra daadi district","750","3254330"
"arunachal-pradesh","2018","4","changlang district","13950","32343000"
"arunachal-pradesh","2018","4","pakke kessang district","297","462144"
"arunachal-pradesh","2018","4","dibang valley district","40","97205.3"
"arunachal-pradesh","2018","4","west kameng district","25439","89194900"
"arunachal-pradesh","2018","4","shi yomi district","61","42483.8"
"arunachal-pradesh","2018","4","east siang district","12893","34272100"
"arunachal-pradesh","2018","4","upper subansiri district","2686","8771040"
"arunachal-pradesh","2018","4","east kameng district","1750","5936860"
"arunachal-pradesh","2018","4","lohit district","14268","40510500"
"arunachal-pradesh","2018","4","lepa rada district","932","3023580"
"arunachal-pradesh","2018","4","tawang district","11104","35921500"
"arunachal-pradesh","2018","4","namsai district","7244","17643500"
"arunachal-pradesh","2019","1","lower dibang valley district","6314","13738800"
"arunachal-pradesh","2019","1","lower subansiri district","4994","12615000"
"arunachal-pradesh","2019","1","longding district","7287","25349500"
"arunachal-pradesh","2019","1","west siang district","5921","19426800"
"arunachal-pradesh","2019","1","kamle district","391","725807"
"arunachal-pradesh","2019","1","upper siang district","1154","2756680"
"arunachal-pradesh","2019","1","tirap district","6877","14075700"
"arunachal-pradesh","2019","1","papum pare district","70941","188557000"
"arunachal-pradesh","2019","1","kurung kumey district","740","2076640"
"arunachal-pradesh","2019","1","anjaw district","2116","4643030"
