"UnionTerritories","Year","Quarter","Transaction_type","Transaction_count","Transaction_amount"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","Recharge & bill payments","544322","253200000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","Financial Services","2065","2252120"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","Others","8110","4365760"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","Merchant payments","2013673","1058990000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","Peer-to-peer payments","1577168","4202290000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","Recharge & bill payments","551618","294992000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","Financial Services","2909","3159310"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","Others","11717","6407960"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","Merchant payments","2507246","1227970000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","Peer-to-peer payments","1745454","4674790000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","Recharge & bill payments","538134","326296000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","Financial Services","2574","2661350"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","Others","9395","5330800"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","Merchant payments","3346697","1536860000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","Peer-to-peer payments","1861799","5078830000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","Recharge & bill payments","539562","372921000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","Financial Services","1849","2131610"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","Others","9864","4415680"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","Merchant payments","3777156","1705570000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","Peer-to-peer payments","2086741","5382950000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","Recharge & bill payments","592431","425207000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","Financial Services","2237","3194410"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","Others","7056","3729430"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","Merchant payments","4415771","1889050000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","Peer-to-peer payments","2215052","5737540000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","Recharge & bill payments","548795","426040000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","Financial Services","2495","3169200"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","Others","7472","3846410"
"delhi","2018","1","Recharge & bill payments","3947297","1320560000"
"delhi","2018","1","Peer-to-peer payments","2380820","9125690000"
"delhi","2018","1","Merchant payments","339809","375393000"
"delhi","2018","1","Financial Services","136240","45588400"
"delhi","2018","1","Others","318588","344278000"
"delhi","2018","2","Recharge & bill payments","4511737","2078180000"
"delhi","2018","2","Peer-to-peer payments","3542716","14348200000"
"delhi","2018","2","Merchant payments","837001","631598000"
"delhi","2018","2","Financial Services","205991","66584700"
"delhi","2018","2","Others","276278","321755000"
"delhi","2018","3","Peer-to-peer payments","8557153","22670100000"
"delhi","2018","3","Recharge & bill payments","5305635","3261840000"
"delhi","2018","3","Merchant payments","3808395","1048420000"
"delhi","2018","3","Financial Services","274526","45051200"
"delhi","2018","3","Others","601339","350406000"
"delhi","2018","4","Peer-to-peer payments","9973249","32389300000"
"delhi","2018","4","Merchant payments","9958967","2738430000"
"delhi","2018","4","Recharge & bill payments","7483633","3961160000"
"delhi","2018","4","Financial Services","265004","58162000"
"delhi","2018","4","Others","1506866","575853000"
"delhi","2019","1","Peer-to-peer payments","20216287","48250000000"
"delhi","2019","1","Merchant payments","13875931","3996620000"
"delhi","2019","1","Recharge & bill payments","10744978","5521320000"
"delhi","2019","1","Financial Services","223095","30997000"
"delhi","2019","1","Others","1947036","670172000"
"delhi","2019","2","Merchant payments","20891431","6816880000"
"delhi","2019","2","Peer-to-peer payments","20570311","65953600000"
"delhi","2019","2","Recharge & bill payments","12869453","8035700000"
"delhi","2019","2","Financial Services","137774","33985100"
"delhi","2019","2","Others","2702543","866679000"
"delhi","2019","3","Merchant payments","29453368","9857220000"
"delhi","2019","3","Peer-to-peer payments","25201978","81904400000"
"delhi","2019","3","Recharge & bill payments","11133404","10406500000"
"delhi","2019","3","Financial Services","92061","27952200"
"delhi","2019","3","Others","3657065","1000670000"
"delhi","2019","4","Peer-to-peer payments","33040093","105859000000"
"delhi","2019","4","Merchant payments","32537378","12864600000"
"delhi","2019","4","Recharge & bill payments","11609898","9500490000"
"delhi","2019","4","Financial Services","57063","21512500"
"delhi","2019","4","Others","3500565","779367000"
"delhi","2020","1","Merchant payments","33951545","14470800000"
"delhi","2020","1","Peer-to-peer payments","32410795","108988000000"
"delhi","2020","1","Recharge & bill payments","12822919","9498790000"
"delhi","2020","1","Financial Services","46529","39908800"
"delhi","2020","1","Others","2515816","619461000"
"delhi","2020","2","Peer-to-peer payments","27155938","86227100000"
"delhi","2020","2","Merchant payments","24963931","12708300000"
"delhi","2020","2","Recharge & bill payments","13568505","8699890000"
"delhi","2020","2","Financial Services","64790","75405900"
"delhi","2020","2","Others","288854","162695000"
"delhi","2020","3","Peer-to-peer payments","41498638","140074000000"
"delhi","2020","3","Merchant payments","40973792","21858200000"
